Id,Name,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,HealthCloudGA__Active__c,HealthCloudGA__ConditionCode__c,HealthCloudGA__HCCCode__c,HealthCloudGA__ValidFrom__c,HealthCloudGA__ValidThrough__c,HealthCloudGA__YearConditionCodeHCCCode__c
a0x3h000000vRfgAAE,Map-156,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8134,HCC10,2014,,C8134HCC102014
a0x3h000000vRfhAAE,Map-157,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8135,HCC10,2014,,C8135HCC102014
a0x3h000000vRfiAAE,Map-158,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8136,HCC10,2014,,C8136HCC102014
a0x3h000000vRfjAAE,Map-159,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8137,HCC10,2014,,C8137HCC102014
a0x3h000000vRfkAAE,Map-160,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8138,HCC10,2014,,C8138HCC102014
a0x3h000000vRflAAE,Map-161,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8139,HCC10,2014,,C8139HCC102014
a0x3h000000vRfmAAE,Map-162,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8140,HCC10,2014,,C8140HCC102014
a0x3h000000vRfnAAE,Map-163,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8141,HCC10,2014,,C8141HCC102014
a0x3h000000vRfoAAE,Map-164,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8142,HCC10,2014,,C8142HCC102014
a0x3h000000vRfpAAE,Map-165,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8143,HCC10,2014,,C8143HCC102014
a0x3h000000vRfqAAE,Map-166,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8144,HCC10,2014,,C8144HCC102014
a0x3h000000vRfrAAE,Map-167,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8145,HCC10,2014,,C8145HCC102014
a0x3h000000vRfsAAE,Map-168,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8146,HCC10,2014,,C8146HCC102014
a0x3h000000vRftAAE,Map-169,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8147,HCC10,2014,,C8147HCC102014
a0x3h000000vRfuAAE,Map-170,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8148,HCC10,2014,,C8148HCC102014
a0x3h000000vRfvAAE,Map-171,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8149,HCC10,2014,,C8149HCC102014
a0x3h000000vRfwAAE,Map-172,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8170,HCC10,2014,,C8170HCC102014
a0x3h000000vRfxAAE,Map-173,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8171,HCC10,2014,,C8171HCC102014
a0x3h000000vRfyAAE,Map-174,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8172,HCC10,2014,,C8172HCC102014
a0x3h000000vRfzAAE,Map-175,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8173,HCC10,2014,,C8173HCC102014
a0x3h000000vRg0AAE,Map-176,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8174,HCC10,2014,,C8174HCC102014
